year,set_num,id,version
2000,1196-1,12532,1
2021,119645111436-1,119853,1
2021,119645111504-1,119854,1
2021,119645111740-1,119851,1
2021,119645111818-1,119855,1
2021,119645111986-1,119856,1
2021,119645112044-1,119857,1
2000,1197-1,8273,1
1981,1197-2,7624,1
2000,1198-1,7468,1
2000,1199-1,13163,1
2011,11995-1,2303,1
1955,1200-1,10761,1
1956,1200-2,7534,1
1957,1200M-1,15690,1
1969,120-1,6766,1
2002,1201-2,29117,1
1966,120-2,25451,1
2001,1202-1,5148,1
1985,1203-1,10289,1
1984,1204-1,14539,1
1985,120438-1,4909,1
1982,1205-1,7276,1
1982,1206-1,13780,1
1982,1207-1,5412,1
1982,1208-1,14471,1
1982,1209-1,10769,1
1981,12-1,11920,1
1982,1210-1,5884,1
1955,1210-2,13299,1
1979,121-1,12017,1
1982,1211-1,9057,1
1955,1211-2,7642,1
1982,1212-1,15664,1
1955,1212-2,14608,1
1982,1213-1,15402,1
1955,1213-2,978,1
2008,12138-1,92712,1
1984,1214-1,13092,1
1955,1214-2,12376,1
1955,1214-2,84780,2
1955,1214-2,84781,3
1955,1214-2,84782,4
2018,12142020-1,27920,1
2016,12148079-1,27949,1
1981,1215-1,5149,1
1955,1215-2,6246,1
1955,1215-2,84783,2
1955,1215-2,84784,3
1955,1215-2,84785,4
1982,1216-1,1300,1
1955,1216-2,1519,1
1955,1216-2,84758,2
1955,1216-2,84759,3
1955,1216-2,84760,4
1982,1217-1,1448,1
1955,1217-2,6757,1
1955,1217-2,84761,2
1955,1217-2,84762,3
1955,1217-2,84763,4
2018,121801-1,24945,1
2018,121802-1,27257,1
1982,1218-1,5259,1
1955,1218-2,5732,1
1955,1218-2,84764,2
1955,1218-2,84765,3
1955,1218-2,84766,4
2019,121903-1,35366,1
2019,121904-1,41416,1
1982,1219-1,14846,1
1955,1219-2,5507,1
1955,1219-2,84767,2
1955,1219-2,84768,3
1955,1219-2,84769,4
1973,12-2,83606,1
2020,122005-1,44252,1
2020,122006-1,48168,1
2020,122007-1,58202,1
2020,122008-1,68273,1
2020,122009-1,73812,1
1982,1220-1,12873,1
2020,122010-1,77947,1
2017,12201420-1,27930,1
1955,1220-2,1118,1
1955,1220-2,84770,2
1955,1220-2,84771,3
1955,1220-2,84772,4
2011,12202014-1,27933,1
1969,122-1,14034,1
1982,1221-1,2196,1
2020,122111-1,83150,1
2021,122112-1,89939,1
2021,122113-1,97179,1
2021,122114-1,103977,1
2021,122115-1,108605,1
2021,122116-1,114637,1
1955,1221-2,16016,1
1955,1221-2,84773,2
1955,1221-2,84774,3
1955,1221-2,84775,4
1982,1222-1,13574,1
2022,122217-1,120460,1
1955,1222-2,10015,1
1955,1222-2,84776,2
1955,1222-2,84777,3
